,value,trade_price,position_value,cash,signal
2022-02-07 09:30:00,1000000.0,4592.0,0.0,1000000.0,0
2022-02-07 09:31:00,1000000.0,4593.2,0.0,1000000.0,0
2022-02-07 09:32:00,1000000.0,4606.0,0.0,1000000.0,0
2022-02-07 09:33:00,1000000.0,4601.2,0.0,1000000.0,0
2022-02-07 09:34:00,1000000.0,4607.8,0.0,1000000.0,0
2022-02-07 09:35:00,1000000.0,4612.4,0.0,1000000.0,0
2022-02-07 09:36:00,1000000.0,4619.4,0.0,1000000.0,0
2022-02-07 09:37:00,1000000.0,4627.4,0.0,1000000.0,0
2022-02-07 09:38:00,1000000.0,4625.0,0.0,1000000.0,0
2022-02-07 09:39:00,1000000.0,4624.0,0.0,1000000.0,0
2022-02-07 09:40:00,1000000.0,4634.4,0.0,1000000.0,0
2022-02-07 09:41:00,1000000.0,4641.0,0.0,1000000.0,0
2022-02-07 09:42:00,1000000.0,4641.6,0.0,1000000.0,0
2022-02-07 09:43:00,1000000.0,4637.0,0.0,1000000.0,0
2022-02-07 09:44:00,1000000.0,4628.0,0.0,1000000.0,0
2022-02-07 09:45:00,1000000.0,4629.0,0.0,1000000.0,0
2022-02-07 09:46:00,1000000.0,4627.2,0.0,1000000.0,0
2022-02-07 09:47:00,1000000.0,4622.6,0.0,1000000.0,0
2022-02-07 09:48:00,1000000.0,4629.2,0.0,1000000.0,0
2022-02-07 09:49:00,1000000.0,4624.0,0.0,1000000.0,0
2022-02-07 09:50:00,1000000.0,4620.6,0.0,1000000.0,0
2022-02-07 09:51:00,1000000.0,4619.6,0.0,1000000.0,0
2022-02-07 09:52:00,1000000.0,4617.0,0.0,1000000.0,0
2022-02-07 09:53:00,1000000.0,4617.6,0.0,1000000.0,0
2022-02-07 09:54:00,1000000.0,4616.4,0.0,1000000.0,0
2022-02-07 09:55:00,1000000.0,4615.0,0.0,1000000.0,0
2022-02-07 09:56:00,1000000.0,4611.2,0.0,1000000.0,0
2022-02-07 09:57:00,1000000.0,4611.0,0.0,1000000.0,0
2022-02-07 09:58:00,1000000.0,4603.6,0.0,1000000.0,0
2022-02-07 09:59:00,1000000.0,4602.6,0.0,1000000.0,0
2022-02-07 10:00:00,1000000.0,4607.8,0.0,1000000.0,0
2022-02-07 10:01:00,1000000.0,4613.2,0.0,1000000.0,0
2022-02-07 10:02:00,1000000.0,4612.2,0.0,1000000.0,0
2022-02-07 10:03:00,1000000.0,4620.0,0.0,1000000.0,0
2022-02-07 10:04:00,1000000.0,4616.2,0.0,1000000.0,0
2022-02-07 10:05:00,1000000.0,4616.6,0.0,1000000.0,0
2022-02-07 10:06:00,1000000.0,4612.0,0.0,1000000.0,0
2022-02-07 10:07:00,1000000.0,4612.2,0.0,1000000.0,0
2022-02-07 10:08:00,1000000.0,4609.4,0.0,1000000.0,0
2022-02-07 10:09:00,999800.7616,4612.0,996192.0,3608.761599999969,1
2022-02-07 10:10:00,999411.9615999999,4610.2,995803.2,3608.761599999969,0
2022-02-07 10:11:00,999325.5616,4609.8,995716.8,3608.761599999969,0
2022-02-07 10:12:00,999800.7616,4612.0,996192.0,3608.761599999969,0
2022-02-07 10:13:00,999671.1615999999,4611.4,996062.3999999999,3608.761599999969,0
2022-02-07 10:14:00,999887.1615999999,4612.4,996278.3999999999,3608.761599999969,0
2022-02-07 10:15:00,1000880.7616,4617.0,997272.0,3608.761599999969,0
2022-02-07 10:16:00,1001269.5616,4618.8,997660.8,3608.761599999969,0
2022-02-07 10:17:00,1002435.9615999999,4624.2,998827.2,3608.761599999969,0
2022-02-07 10:18:00,1002306.3616000001,4623.6,998697.6000000001,3608.761599999969,0
2022-02-07 10:19:00,1001744.7616,4621.0,998136.0,3608.761599999969,0
2022-02-07 10:20:00,1001442.3616000001,4619.6,997833.6000000001,3608.761599999969,0
2022-02-07 10:21:00,1001442.3616000001,4615.6,997833.6000000001,3608.761599999969,1
2022-02-07 10:22:00,1001010.3616000001,4617.6,997401.6000000001,3608.761599999969,0
2022-02-07 10:23:00,1000923.9615999999,4617.2,997315.2,3608.761599999969,0
2022-02-07 10:24:00,1000837.5616,4616.8,997228.8,3608.761599999969,0
2022-02-07 10:25:00,1000059.9615999999,4613.2,996451.2,3608.761599999969,0
2022-02-07 10:26:00,1000146.3616000001,4613.6,996537.6000000001,3608.761599999969,0
2022-02-07 10:27:00,999800.7616,4612.0,996192.0,3608.761599999969,0
2022-02-07 10:28:00,999368.7616,4610.0,995760.0,3608.761599999969,0
2022-02-07 10:29:00,999411.9615999999,4610.2,995803.2,3608.761599999969,0
2022-02-07 10:30:00,998936.7616,4608.0,995328.0,3608.761599999969,0
2022-02-07 10:31:00,997683.9615999999,4602.2,994075.2,3608.761599999969,0
2022-02-07 10:32:00,998288.7616,4605.0,994680.0,3608.761599999969,0
2022-02-07 10:33:00,997381.5616,4600.8,993772.8,3608.761599999969,0
2022-02-07 10:34:00,996776.7616,4598.0,993168.0,3608.761599999969,0
2022-02-07 10:35:00,997079.1615999999,4599.4,993470.3999999999,3608.761599999969,0
2022-02-07 10:36:00,997467.9615999999,4601.2,993859.2,3608.761599999969,0
2022-02-07 10:37:00,997208.7616,4600.0,993600.0,3608.761599999969,0
2022-02-07 10:38:00,995912.7616,4594.0,992304.0,3608.761599999969,0
2022-02-07 10:39:00,995714.3008,4594.0,0.0,995714.3008,-1
2022-02-07 10:40:00,995714.3008,4596.2,0.0,995714.3008,0
2022-02-07 10:41:00,995515.85728,4593.6,992217.6000000001,3298.2572799999034,1
2022-02-07 10:42:00,995818.2572799999,4595.0,992520.0,3298.2572799999034,0
2022-02-07 10:43:00,995818.2572799999,4593.0,992520.0,3298.2572799999034,1
2022-02-07 10:44:00,995818.2572799999,4596.8,992520.0,3298.2572799999034,1
2022-02-07 10:45:00,995818.2572799999,4597.8,992520.0,3298.2572799999034,1
2022-02-07 10:46:00,996466.2572799999,4598.0,993168.0,3298.2572799999034,0
2022-02-07 10:47:00,996466.2572799999,4594.4,993168.0,3298.2572799999034,1
2022-02-07 10:48:00,996466.2572799999,4594.0,993168.0,3298.2572799999034,1
2022-02-07 10:49:00,996466.2572799999,4597.0,993168.0,3298.2572799999034,1
2022-02-07 10:50:00,996466.2572799999,4598.8,993168.0,3298.2572799999034,1
2022-02-07 10:51:00,995835.7100799999,4596.0,0.0,995835.7100799999,-1
2022-02-07 10:52:00,995637.3270399999,4592.2,991915.2,3722.127039999934,1
2022-02-07 10:53:00,995637.3270399999,4597.6,991915.2,3722.127039999934,1
2022-02-07 10:54:00,996976.5270399998,4598.4,993254.3999999999,3722.127039999934,0
2022-02-07 10:55:00,996976.5270399998,4602.4,993254.3999999999,3722.127039999934,1
2022-02-07 10:56:00,997581.3270399999,4601.2,993859.2,3722.127039999934,0
2022-02-07 10:57:00,997581.3270399999,4604.6,993859.2,3722.127039999934,1
2022-02-07 10:58:00,997581.3270399999,4602.8,993859.2,3722.127039999934,1
2022-02-07 10:59:00,997624.5270399998,4601.4,993902.3999999999,3722.127039999934,0
2022-02-07 11:00:00,997624.5270399998,4601.4,993902.3999999999,3722.127039999934,1
2022-02-07 11:01:00,997624.5270399998,4600.2,993902.3999999999,3722.127039999934,1
2022-02-07 11:02:00,997624.5270399998,4599.4,993902.3999999999,3722.127039999934,1
2022-02-07 11:03:00,997624.5270399998,4598.8,993902.3999999999,3722.127039999934,1
